ref,pp,p,m,g,gg,xgg,xxgg
900,2,2,2,0,0,1,3
901,2,2,2,0,0,1,3
902,2,2,2,0,0,1,3
903,2,2,2,0,0,1,3
904,2,2,2,0,0,1,3
905,2,2,2,0,0,1,3
906,2,2,2,0,0,1,3
907,2,2,2,0,0,1,3
908,2,2,2,0,0,1,3
909,2,2,2,0,0,1,3
910,2,2,2,0,0,1,3
911,2,2,2,0,0,1,3
912,2,2,2,0,0,1,3
913,2,2,2,0,0,1,3
914,2,2,2,0,0,1,3
915,2,2,2,0,0,1,3
916,2,2,2,0,0,1,3
917,2,2,2,0,0,1,3
918,2,2,2,0,0,1,3
919,2,2,2,0,0,1,3
920,2,2,2,0,0,1,3
921,2,2,2,0,0,1,3
922,2,2,2,0,0,1,3
923,2,2,2,0,0,1,3
924,2,2,2,0,0,1,3
925,2,2,2,0,0,1,3
926,2,2,2,0,0,1,3
927,2,2,2,0,0,1,3
928,2,2,2,0,0,1,3
929,2,2,2,0,0,1,3
930,2,2,2,0,0,1,3
931,2,2,2,0,0,1,3
932,2,2,2,0,0,1,3
933,2,2,2,0,0,1,3
934,2,2,2,0,0,1,3
935,2,2,2,0,0,1,3
936,2,2,2,0,0,1,3
937,2,2,2,0,0,1,3
938,2,2,2,0,0,1,3
939,2,2,2,0,0,1,3
940,2,2,2,0,0,1,3
941,2,2,2,0,0,1,3
942,2,2,2,0,0,1,3
943,2,2,2,0,0,1,3
944,2,2,2,0,0,1,3
945,2,2,2,0,0,1,3
946,2,2,2,0,0,1,3
947,2,2,2,0,0,1,3
948,2,2,2,0,0,1,3
949,2,2,2,0,0,1,3
950,2,2,2,0,0,1,3
951,2,2,2,0,0,1,3
952,2,2,2,0,0,1,3
953,2,2,2,0,0,1,3
954,2,2,2,0,0,1,3
955,2,2,2,0,0,1,3
956,2,2,2,0,0,1,3
957,2,2,2,0,0,1,3
958,2,2,2,0,0,1,3
959,2,2,2,0,0,1,3
960,2,2,2,0,0,1,3
961,2,2,2,0,0,1,3
962,2,2,2,0,0,1,3
963,2,2,2,0,0,1,3
964,2,2,2,0,0,1,3
965,2,2,2,0,0,1,3
966,2,2,2,0,0,1,3
967,2,2,2,0,0,1,3
968,2,2,2,0,0,1,3
969,2,2,2,0,0,1,3
970,2,2,2,0,0,1,3
971,2,2,2,0,0,1,3
972,2,2,2,0,0,1,3
973,2,2,2,0,0,1,3
974,2,2,2,0,0,1,3
975,2,2,2,0,0,1,3
976,2,2,2,0,0,1,3
977,2,2,2,0,0,1,3
978,2,2,2,0,0,1,3
979,2,2,2,0,0,1,3
980,2,2,2,0,0,1,3
981,2,2,2,0,0,1,3
982,2,2,2,0,0,1,3
983,2,2,2,0,0,1,3
984,2,2,2,0,0,1,3
985,2,2,2,0,0,1,3
986,2,2,2,0,0,1,3
987,2,2,2,0,0,1,3
988,2,2,2,0,0,1,3
989,2,2,2,0,0,1,3
990,2,2,2,0,0,1,3
991,2,2,2,0,0,1,3
992,2,2,2,0,0,1,3
993,2,2,2,0,0,1,3
994,2,2,2,0,0,1,3
995,2,2,2,0,0,1,3
996,2,2,2,0,0,1,3
997,2,2,2,0,0,1,3
998,2,2,2,0,0,1,3
999,2,2,2,0,0,1,3
1000,2,2,2,0,0,1,3
